date,pain,infection,allergy,common cold,diabetes,itch,anxiety,skin rash,acne,hypertension,swelling,inflammation,cough,back pain,obesity,arthritis,fatigue,abdominal pain,depression,fever
11/1/2020,33.58348263,20.4432084,9.028244964,8.93572572,7.544221581,6.242107466,8.292486278,5.534757907,6.984933098,6.371856616,5.110299744,5.123375842,4.53884635,5.136556784,4.491896676,4.64360023,4.405274465,4.180381099,5.23127314,4.103451568
12/1/2020,33.57485912,19.95521613,9.162620738,9.135167101,7.34689578,6.063469455,7.444937206,5.358205549,7.189990006,6.364863214,5.142487905,5.214832122,4.607921454,5.171488565,4.45999934,4.602179565,4.326348226,4.269661355,4.628269167,3.992910274
1/1/2021,34.81940341,19.27853694,9.455239117,8.120448041,8.269996411,6.09397136,7.67567685,5.383998651,7.624684195,6.935263716,5.195075283,5.3255554,4.260895912,5.354810437,5.459244435,4.819260267,4.555117848,4.452667695,4.482805512,3.741124868
2/1/2021,35.2756209,19.34316194,9.282176886,7.156466521,8.900901176,6.309249205,7.943503505,5.561242952,7.464731419,7.23478728,5.416020819,5.413004854,3.88610993,5.38521086,5.776853059,4.984677169,4.632847714,4.485470609,4.834237341,3.424333775
3/1/2021,35.23704029,19.12951802,10.66953622,6.757114116,8.664976619,6.362167221,8.429627354,5.756721872,7.292807434,7.215213411,5.597364186,5.293138538,3.820435759,5.368627908,6.501010455,4.992286997,4.676561725,4.435377083,5.201070467,3.299177128
4/1/2021,35.87812491,19.95909485,12.35758918,7.532015893,8.538731744,7.121750597,7.899160704,6.719343922,7.088366751,7.163271465,5.825864287,5.477992007,4.216710628,5.408147712,5.556819737,5.077740934,4.762207588,4.516665775,4.816310843,3.646291027
5/1/2021,35.72104909,20.3059873,12.84256553,7.750375154,8.14405534,8.407064737,7.633876837,8.100693561,6.883492233,6.820143865,6.123968937,5.461461254,4.488139361,5.306984264,5.131484468,5.039149856,4.604236496,4.491938598,4.488132434,3.463868943
6/1/2021,37.72861087,21.88855208,13.23061691,7.707485749,8.721888562,10.29577431,7.432039193,9.493977633,7.191031421,7.153556377,6.670392228,5.894535573,4.510048457,5.579084704,5.640191128,5.258580103,4.691242823,4.68298701,4.357915587,3.360248649
7/1/2021,37.91028691,24.21259675,13.20618862,8.724160792,8.567875699,10.55401991,7.389107189,9.235807543,7.246768495,7.145354472,6.642323653,5.759603844,4.834738549,5.608090042,5.085722172,5.262774373,4.720946648,4.849720296,4.320625057,3.642742431
8/1/2021,36.54856932,25.2479985,13.40757741,10.6202694,8.284650946,9.497214131,7.471154882,8.309586798,6.97916203,7.0040463,6.223729023,6.001362713,5.637612164,5.428700813,4.854503115,5.180502917,4.812297242,4.709871781,4.221045011,4.438137104
9/1/2021,34.92351138,24.03773095,12.62396384,11.13351406,8.20042323,8.002148988,7.561640711,7.213100321,6.275190982,6.892378799,5.706760949,5.906704785,6.124270438,5.148777331,4.951602554,4.875007906,4.631346418,4.495191931,4.475154067,4.405701559
10/1/2021,34.25880972,22.1962701,10.74566313,10.24566631,8.043490701,6.851736516,7.409024337,6.372935242,6.061307734,7.019399034,5.414438848,5.680200774,5.955383249,5.035287222,4.885857122,4.755255546,4.452194266,4.362245344,4.480704037,3.891307776
11/1/2021,33.80238243,22.24056547,10.26239944,12.17562977,8.097810649,6.200100678,7.226210162,5.837024793,6.208967894,6.697388509,5.185675413,5.630944057,7.085053652,5.006595799,4.729761731,4.643208197,4.32552215,4.356081099,4.524881479,4.098563809
12/1/2021,34.04340622,23.14106507,10.39523785,14.69570556,7.640696166,6.131708066,6.947968269,5.572166892,6.274659991,6.613135142,5.237451411,5.518852136,8.27226054,5.068850335,4.555711639,4.574892149,4.33765983,4.559191459,4.189087499,5.080581829
1/1/2022,35.15288628,22.85430782,10.86388678,15.50408935,8.384122608,6.40554422,7.311648373,5.793565385,6.469874276,7.040801706,5.209308385,5.817574078,8.466659744,5.173991726,5.13574802,4.723204585,4.650450017,4.6114025,4.246509302,5.869824615
2/1/2022,34.54258384,20.19401566,9.862750042,9.18329637,8.713942852,6.162403856,7.70442128,5.638294661,6.365123542,7.408118172,5.30631639,5.47798681,5.173763026,5.114089592,5.412258565,4.758420958,4.541523194,4.634930611,4.477399357,3.648213873
3/1/2022,35.19798062,20.35202736,11.37806981,9.377243899,8.902582953,6.391133085,8.64725996,5.972804352,6.501880505,7.66643426,5.510083619,5.452598585,5.351061211,5.191270856,5.522436161,4.938298413,4.641706326,4.823422907,4.455848673,3.519804361
4/1/2022,35.4772586,20.96660934,12.57410115,9.489987032,8.918510803,7.022105091,7.690909973,6.69752385,6.37833154,7.494638911,5.714983245,5.472454278,5.555423721,5.202230181,5.340070772,4.966285966,4.670339024,4.773592959,4.445798844,3.700466366
5/1/2022,35.49842846,22.02083988,13.86073402,9.247620922,8.51529692,8.760272421,7.239107526,8.587925043,6.236249412,7.263265508,6.05036673,5.358166964,5.580465072,5.154822756,5.143474499,4.95530238,4.630362692,4.629617106,4.568809232,3.991304587
6/1/2022,37.31515962,22.23184431,13.79547553,8.369939282,9.166712135,10.27502957,7.044034759,9.716656247,6.461343298,7.360437061,6.513506126,5.681854349,5.068160526,5.394498001,5.637025428,5.104912318,4.725548358,4.884273472,4.246548138,3.932525335
7/1/2022,37.47476262,22.52831908,12.81842996,7.847197049,8.950212562,10.0919052,7.147912043,9.194755038,6.536203056,7.30484911,6.550846648,5.523839117,4.639729802,5.459235876,5.259106745,5.040477735,4.788477507,4.922769459,4.225240283,4.134402348
8/1/2022,36.23520402,22.16360274,12.4013427,8.017411394,9.009490816,9.184964895,7.145755813,8.32042889,6.521427347,7.328859277,6.175460947,5.577527494,4.664121437,5.424009656,5.164906145,5.020310563,4.713340491,4.677990803,4.10023104,3.932931738
9/1/2022,34.66728708,21.32945806,12.32517764,9.085118307,8.330271722,8.487442113,6.963723247,7.37194111,6.171711048,6.826435998,5.876026694,5.302213133,5.300384878,5.145738714,4.809539496,4.775759788,4.434975502,4.525611482,4.01876506,3.800533701
