,date,mob_total,new_confirmed,new_deceased,population,covid_severity
89,2020-05-14,-18022.0,101579.0,5501.0,7757427085.0,2.0185687636405286e-05
90,2020-05-15,-17919.0,96956.0,5248.0,7756777743.0,1.9265216169801504e-05
91,2020-05-16,-17145.0,94098.0,5380.0,7749280755.0,1.9085384137692143e-05
92,2020-05-17,-18377.0,74594.0,3940.0,7757427085.0,1.4694820686155377e-05
93,2020-05-18,-15771.0,94228.0,4345.0,7749280755.0,1.776655206499871e-05
94,2020-05-19,-15716.0,101360.0,5043.0,7749280755.0,1.9587624296882247e-05
95,2020-05-20,-14530.0,105773.0,4873.0,7749930097.0,1.9936050785775237e-05
96,2020-05-21,-15365.0,106595.0,4921.0,7756777743.0,2.008630454064565e-05
97,2020-05-22,-14333.0,110205.0,5328.0,7756777743.0,2.1076406391498693e-05
98,2020-05-23,-14906.0,95978.0,5025.0,7749280755.0,1.8869880266713862e-05
99,2020-05-24,-18240.0,88615.0,3878.0,7749280755.0,1.6439590205555794e-05
100,2020-05-25,-17050.0,92175.0,4114.0,7749280755.0,1.7203532071538685e-05
101,2020-05-26,-14787.0,97408.0,4563.0,7749280755.0,1.845822915987511e-05
102,2020-05-27,-13793.0,106753.0,4961.0,7756777743.0,2.015824162824669e-05
103,2020-05-28,-13871.0,121911.0,5128.0,7749280755.0,2.2349299951257218e-05
104,2020-05-29,-13159.0,119307.0,4891.0,7756777743.0,2.1686453521477417e-05
105,2020-05-30,-12075.0,123156.0,5226.0,7756777743.0,2.2614545087140315e-05
106,2020-05-31,-13051.0,99206.0,3921.0,7756777743.0,1.7844523149436847e-05
107,2020-06-01,-11955.0,97799.0,4285.0,7756777743.0,1.8132400419352842e-05
108,2020-06-02,-10929.0,118088.0,5115.0,7756777743.0,2.1818080343055668e-05
109,2020-06-03,-10844.0,124650.0,5416.0,7749280755.0,2.307439950277037e-05
110,2020-06-04,-11812.0,125942.0,5402.0,7756777743.0,2.3200613187918693e-05
111,2020-06-05,-12333.0,132357.0,4928.0,7756777743.0,2.341655337023365e-05
112,2020-06-06,-10244.0,124061.0,4828.0,7756777743.0,2.221811758826361e-05
113,2020-06-07,-11157.0,106541.0,4486.0,7756777743.0,1.9518543010547106e-05
114,2020-06-08,-10603.0,110559.0,4587.0,7756777743.0,2.016675031602746e-05
115,2020-06-09,-10674.0,129193.0,5165.0,7749280755.0,2.3336746430733752e-05
116,2020-06-10,-9811.0,140624.0,5416.0,7749280755.0,2.5135752098582986e-05
117,2020-06-11,-10327.0,142990.0,5443.0,7749280755.0,2.5475912699719963e-05
118,2020-06-12,-9255.0,143773.0,4743.0,7756777743.0,2.464979742039774e-05
119,2020-06-13,-7905.0,132983.0,4995.0,7756777743.0,2.35836330575651e-05
120,2020-06-14,-9693.0,117432.0,4531.0,7749280755.0,2.1000916748950592e-05
121,2020-06-15,-8773.0,125750.0,6155.0,7756777743.0,2.414662456572594e-05
122,2020-06-16,-8173.0,148228.0,5259.0,7749280755.0,2.591440500725541e-05
123,2020-06-17,-8461.0,148263.0,5561.0,7756777743.0,2.6283207635281604e-05
124,2020-06-18,-9080.0,142671.0,5421.0,7756777743.0,2.5381802408567477e-05
125,2020-06-19,-8657.0,183533.0,5400.0,7756777743.0,3.062263840347346e-05
126,2020-06-20,-7624.0,157025.0,5221.0,7756777743.0,2.6974474057713118e-05
127,2020-06-21,-8559.0,127228.0,4175.0,7756777743.0,2.1784561269979912e-05
128,2020-06-22,-8479.0,143494.0,4323.0,7756777743.0,2.407236692691196e-05
129,2020-06-23,-7037.0,174246.0,5441.0,7756777743.0,2.947821989696012e-05
130,2020-06-24,-7304.0,177754.0,5107.0,7756777743.0,2.9499878374947528e-05
131,2020-06-25,-7150.0,188651.0,5296.0,7756777743.0,3.1148372172715485e-05
132,2020-06-26,-6882.0,198191.0,5136.0,7757427085.0,3.2169300112731903e-05
133,2020-06-27,-6156.0,178087.0,5161.0,7756777743.0,2.9612425108774964e-05
134,2020-06-28,-7527.0,156512.0,4352.0,7756777743.0,2.578802779034325e-05
135,2020-06-29,-7678.0,170295.0,4685.0,7756777743.0,2.799422739628702e-05
136,2020-06-30,-6685.0,184240.0,5492.0,7756777743.0,3.083239044922058e-05
137,2020-07-01,-6532.0,214436.0,5228.0,7756777743.0,3.43848965172032e-05
138,2020-07-02,-6464.0,214562.0,5591.0,7756777743.0,3.4869118203636015e-05
139,2020-07-03,-6440.0,215519.0,5821.0,7756777743.0,3.528900905366575e-05
140,2020-07-04,-5782.0,194393.0,5210.0,7756777743.0,3.177775722946868e-05
141,2020-07-05,-5854.0,165275.0,4716.0,7756777743.0,2.7387016495568553e-05
142,2020-07-06,-5978.0,177704.0,5070.0,7756777743.0,2.9445732179979003e-05
143,2020-07-07,-5617.0,214786.0,5876.0,7756777743.0,3.5265416783000895e-05
144,2020-07-08,-6123.0,227142.0,6129.0,7756777743.0,3.718451263609965e-05
145,2020-07-09,-6012.0,227495.0,5854.0,7756777743.0,3.687549256624356e-05
146,2020-07-10,-6521.0,240203.0,6008.0,7756777743.0,3.8712337770794886e-05
147,2020-07-11,-5940.0,223357.0,5751.0,7756777743.0,3.6209236529107036e-05
148,2020-07-12,-5520.0,194065.0,5078.0,7756777743.0,3.156529787397313e-05
149,2020-07-13,-5083.0,197280.0,5515.0,7756777743.0,3.254315237120234e-05
150,2020-07-14,-5323.0,235879.0,6091.0,7756777743.0,3.8261892996461484e-05
151,2020-07-15,-4713.0,246704.0,6639.0,7756777743.0,4.036392563684675e-05
152,2020-07-16,-5229.0,250395.0,6669.0,7756777743.0,4.087844340855958e-05
153,2020-07-17,-5304.0,246794.0,7188.0,7756777743.0,4.108329651285717e-05
154,2020-07-18,-4270.0,229742.0,6053.0,7756777743.0,3.7421724537866525e-05
155,2020-07-19,-4195.0,202764.0,5481.0,7757427085.0,3.320353477740745e-05
156,2020-07-20,-4104.0,209848.0,5764.0,7756777743.0,3.448442238033582e-05
157,2020-07-21,-4360.0,253086.0,7726.0,7756777743.0,4.2588045054934867e-05
158,2020-07-22,-4568.0,297572.0,6671.0,7756777743.0,4.6963057608391755e-05
159,2020-07-23,-5008.0,289542.0,6978.0,7756777743.0,4.6323616829715835e-05
160,2020-07-24,-5539.0,283738.0,6721.0,7756777743.0,4.5244044837652894e-05
161,2020-07-25,-4610.0,256094.0,6281.0,7756777743.0,4.111294800057803e-05
162,2020-07-26,-4358.0,209691.0,5602.0,7756777743.0,3.425533240781423e-05
163,2020-07-27,-3513.0,227167.0,6213.0,7756777743.0,3.729602801383244e-05
164,2020-07-28,-3438.0,265384.0,6468.0,7756777743.0,4.255168975259886e-05
165,2020-07-29,-3479.0,304030.0,7086.0,7756777743.0,4.8330635789882527e-05
166,2020-07-30,-3911.0,295233.0,6916.0,7756777743.0,4.697736767420487e-05
167,2020-07-31,-6756.0,287490.0,6796.0,7756777743.0,4.582444047991076e-05
168,2020-08-01,-5668.0,252406.0,6661.0,7756777743.0,4.1127386985902966e-05
169,2020-08-02,-4785.0,216020.0,5569.0,7756777743.0,3.502872055928134e-05
170,2020-08-03,-5391.0,217457.0,6026.0,7756777743.0,3.580314006684309e-05
171,2020-08-04,-4165.0,277150.0,6926.0,7756777743.0,4.465900809296915e-05
172,2020-08-05,-3788.0,291247.0,7066.0,7756777743.0,4.6656873767795925e-05
173,2020-08-06,-3833.0,288634.0,6976.0,7756777743.0,4.620397952273776e-05
174,2020-08-07,-4118.0,294397.0,6719.0,7756777743.0,4.661561952401039e-05
